id,title,company,location,country,country_code,category,contract_type,contract_time,salary_min,salary_max,date_posted,description,role_category,search_query,url,desc_length
de_5708353171,Senior Engineer Machine Learning / AI (w/m/d),HUK-COBURG Versicherungsgruppe,"Coburg, Coburg (Kreis)",Germany,de,Technikerstellen,,,,,2026-04-23,"Hallo, lass uns WIR sagen! Wir - die HUK-COBURG Versicherungsgruppe - zählen zu den 10 größten in Deutschland. Vor über 90 Jahren gegründet sind wir mit über 13 Millionen Kund:innen heute der große Versicherer für Privathaushalte und der größte deutsche Autoversicherer. Dass wir oft preisgünstiger sind als andere Versicherungen, hat bei uns schon Tradition. Genau wie unser Ruf als Arbeitgeberin, mit der DU wachsen und deine persönlichen Ziele erreichen kannst. Bei uns kannst du eine spannende K…",AI_Engineering,AI Engineer Machine Learning,https://www.adzuna.de/land/ad/5708353171?se=IoPHUItL8RGnMap5hKkm1g&utm_medium=api&utm_source=c5693b3d&v=F25D5F2D836EF46E2CCF5A1EDA467AA7133032FB,500
de_5722278756,AI & Machine Learning Engineer (all genders),SThree Germany,"Hausen, Frankfurt am Main",Germany,de,IT-Stellen,permanent,full_time,80000.0,95000.0,2026-05-08,"AI & Machine Learning Engineer (all genders) Unbefristet | Vollzeit | Teilweise Remote | Deutschlandweit Im Auftrag eines renommierten, international agierenden IT‑Dienstleisters mit starkem Fokus auf Digitalisierung, Nachhaltigkeit und langfristige Stabilität suche ich aktuell einen AI & Machine Learning Engineer (all genders) zur Verstärkung eines stark wachsenden AI‑Teams. Das Unternehmen begleitet namhafte Kunden - u. a. aus dem Versicherungs‑ und Finanzumfeld - bei der Umsetzung moderner d…",AI_Engineering,AI Engineer Machine Learning,https://www.adzuna.de/details/5722278756?utm_medium=api&utm_source=c5693b3d,500
de_5680334179,Digital Process Engineer – AI & Automation (KI-Engineer / Machine Learning Engineer / Wirtschaftsinformatiker / Informatiker o.Ä.) (m/w/d),GPE MedTech Systeme GmbH,"Dassow, Nordwestmecklenburg (Kreis)",Germany,de,Beraterstellen,,,,,2026-03-27,"Digital Process Engineer – AI & Automation (KI-Engineer / Machine Learning Engineer / Wirtschaftsinformatiker / Informatiker o.Ä.) (m/w/d) [](https://www.gpe-group.de/) * * * *GPE MedTech Systeme GmbH* Die GPE MedTech Systeme GmbH ist ein erfolgreiches, verantwortungsbewusstes und innovatives Unternehmen mit Fokus auf die Medizintechnik. Seit über 70 Jahren sind wir ein zuverlässiger Komponentenlieferant und langjähriger Systempartner für Kunden aus den Branchen Medizintechnik, Sicherheitstechn…",AI_Engineering,AI Engineer Machine Learning,https://www.adzuna.de/details/5680334179?utm_medium=api&utm_source=c5693b3d,500
de_5418313407,Senior AI / Machine Learning Engineer – Enterprise & On-Prem Systems,Nortal,Deutschland,Germany,de,IT-Stellen,permanent,full_time,,,2025-09-27,"Wir bei Nortal unterstützen den öffentlichen Sektor und Unternehmen dabei, KI nicht nur zu diskutieren, sondern produktiv und verantwortungsvoll einzusetzen. Wenn Du bei Themen wie LLMs, RAG-Architekturen und On-Prem-Deployments nicht an Spielerei, sondern an robuste, auditierbare Systeme denkst, passt Du gut zu uns. Wir suchen eine:n Senior AI / Machine Learning Engineer – Enterprise & On-Prem Systems (m/w/d) mit starkem Fokus auf Enterprise-AI-Systeme. In dieser Rolle entwickelst Du keine Dem…",AI_Engineering,AI Engineer Machine Learning,https://www.adzuna.de/details/5418313407?utm_medium=api&utm_source=c5693b3d,500
de_5698582069,AI & Machine Learning Engineer – Sensor Fusion & Situational Awareness - 2279 - Permanent,Collective.work,"Altstadt-Lehel, München",Germany,de,Sonstige/Allgemeine Stellen,permanent,full_time,65000.0,105000.0,2026-04-14,"Job description Salary: 65-105k€ (Annuel) AI & Machine Learning Engineer – Sensor Fusion & Situational Awareness M/F Contract type Permanent Location Greater Munich (Hybrid) Reference 2279 Contact About the recruiting company Our client is a European start-up specializing in electronic warfare, secure communications, and precision localization technologies for the defense sector. Key points of the position Reporting to the engineering team, you will develop advanced AI and machine learning algo…",AI_Engineering,AI Engineer Machine Learning,https://www.adzuna.de/details/5698582069?utm_medium=api&utm_source=c5693b3d,500
de_5104382632,Staff Machine Learning Engineer (AI Platform),Smartly,"Berlin, Deutschland",Germany,de,IT-Stellen,,full_time,,,2025-03-21,"We are looking for a Staff Machine Learning Engineer to join the AI PlatformTeam at Smartly! Our team works on helping marketers make the most of their ad creatives (images, video, text) and campaigns (product and performance data). We build and experiment with AI-based solutions across the media and creative workflows.You will have the opportunity to take ownership of and work on high impact projects. Join us in building high impact ML-based solutions to help our customers to build better and …",AI_Engineering,AI Engineer Machine Learning,https://www.adzuna.de/details/5104382632?utm_medium=api&utm_source=c5693b3d,500
de_5465188578,Senior Machine Learning Engineer (AI Platform),Smartly,"Berlin, Deutschland",Germany,de,IT-Stellen,,,,,2025-10-26,"We are looking for a Senior Machine Learning Engineer to join the AI Platform Team at Smartly! Our team works on helping marketers make the most of their ad creatives (images, video, text) and campaigns (product and performance data). We build and experiment with AI-based solutions across the media and creative workflows.You will have the opportunity to take ownership of and work on high impact projects. Join us in building high impact ML-based solutions to help our customers to build better an…",AI_Engineering,AI Engineer Machine Learning,https://www.adzuna.de/details/5465188578?utm_medium=api&utm_source=c5693b3d,500
de_5699490936,Senior Engineer Machine Learning / AI (w/m/d),HUK-COBURG Versicherungsgruppe,"Coburg, Coburg (Kreis)",Germany,de,Unknown,,,,,2026-04-15,"Hallo, lass uns WIR sagen! Im Data Analytics Team der HUK-COBURG transformieren wir Daten in echte Mehrwerte für über 13 Mio. Kund:innen. Als Deutschlands führende Kfz-Versicherung sind wir ein traditionsreiches und stabiles Unternehmen, welches zielgerichtet in Innovation und seine datengetriebene Zukunft investiert. Unsere agilen Data Analytics Teams setzen modernste Machine Learning und KI-Methoden ein, um Prozesse zu optimieren, faire Preise zu berechnen, Schäden digital und intelligent zu …",AI_Engineering,AI Engineer Machine Learning,https://www.adzuna.de/details/5699490936?utm_medium=api&utm_source=c5693b3d,500
de_5716854212,Senior Engineer Machine Learning / AI (w/m/d),HUK-COBURG Versicherungsgruppe,"Coburg, Coburg (Kreis)",Germany,de,Unknown,,,,,2026-05-02,"Hallo, lass uns WIR sagen! Im Data Analytics Team der HUK-COBURG transformieren wir Daten in echte Mehrwerte f&uuml;r &uuml;ber 13 Mio. Kund:innen. Als Deutschlands f&uuml;hrende Kfz-Versicherung sind wir ein traditionsreiches und stabiles Unternehmen, welches zielgerichtet in Innovation und seine datengetriebene Zukunft investiert. Unsere agilen Data Analytics Teams setzen modernste Machine Learning und KI-Methoden ein, um Prozesse zu optimieren, faire Preise zu berechnen, Sch&auml;den digital…",AI_Engineering,AI Engineer Machine Learning,https://www.adzuna.de/details/5716854212?utm_medium=api&utm_source=c5693b3d,500
de_5520212570,Senior Machine Learning/AI Engineer (m/w/d),Deutscher Sparkassen Verlag,Deutschland,Germany,de,Unknown,,full_time,,,2025-11-30,"Du möchtest das Bezahlen der Zukunft mitgestalten und verändern? Dann werde Teil unseres Teams bei der S-Payment! Die S-Payment gehört zur DSV-Gruppe und ist der Taktgeber für alle Payment-Themen in der Sparkassen-Finanzgruppe. Wir erkennen Trends, setzen neue Impulse und bringen die Sparkassen mit innovativen Payment-Lösungen voran – und damit haben wir direkten Einfluss auf über 45 Millionen Endkund:innen. Wir entwickeln und vermarkten Payment-Lösungen sowohl für den PoS als auch für E- und M…",AI_Engineering,AI Engineer Machine Learning,https://www.adzuna.de/details/5520212570?utm_medium=api&utm_source=c5693b3d,500
